dataTimestamp,familyLoadPower,familyLoadPowerStr,name,warningInfoData,inverterTemperature,inverterTemperatureUnit,batteryPower,batteryPowerStr,batteryCapacitySoc,psum,psumStr,iPv1,iPv2,iPv3,iPv4,uPv1,uPv2,uPv3,uPv4,timeStr,bypassLoadPower,bypassLoadPowerStr
1707222772077,0,kW,,512,24.5,℃,-1.56,kW,60,-0.002,kW,0,0,0,0,0,0,0,0,2024-02-06 21:32:52,,
1707222903448,0,kW,,512,24.7,℃,-1.812,kW,59,0.003,kW,0,0,0,0,0,0,0,0,2024-02-06 21:35:03,,
1707222912246,0,kW,,512,24.7,℃,-1.776,kW,59,0,kW,0,0,0,0,0,0,0,0,2024-02-06 21:35:12,,
1707223012601,0,kW,,512,24.7,℃,-1.74,kW,59,-0.001,kW,0,0,0,0,0,0,0,0,2024-02-06 21:36:52,,
1707223132204,0,kW,,512,24.8,℃,-1.739,kW,59,-0.002,kW,0,0,0,0,0,0,0,0,2024-02-06 21:38:52,,
1707223203576,0,kW,,512,25,℃,-1.847,kW,59,-0.003,kW,0,0,0,0,0,0,0,0,2024-02-06 21:40:03,,
1707223251808,0,kW,,512,25,℃,-1.774,kW,59,-0.033,kW,0,0,0,0,0,0,0,0,2024-02-06 21:40:51,,
1707223372947,0,kW,,512,25,℃,-1.738,kW,59,-0.015,kW,0,0,0,0,0,0,0,0,2024-02-06 21:42:52,,
1707223503405,0,kW,,512,25.1,℃,-1.881,kW,59,-0.001,kW,0,0,0,0,0,0,0,0,2024-02-06 21:45:03,,
1707223512212,0,kW,,512,25.1,℃,-1.881,kW,59,-0.001,kW,0,0,0,0,0,0,0,0,2024-02-06 21:45:12,,
1707223611847,0,kW,,512,25.2,℃,-1.881,kW,59,-0.068,kW,0,0,0,0,0,0,0,0,2024-02-06 21:46:51,,
1707223732269,0,kW,,512,25.2,℃,-1.844,kW,58,-0.089,kW,0,0,0,0,0,0,0,0,2024-02-06 21:48:52,,
1707223803456,0,kW,,512,25.2,℃,-1.735,kW,58,-0.049,kW,0,0,0,0,0,0,0,0,2024-02-06 21:50:03,,
1707223852082,0,kW,,512,25.2,℃,-1.843,kW,58,-0.004,kW,0,0,0,0,0,0,0,0,2024-02-06 21:50:52,,
1707223972208,0,kW,,512,25.2,℃,-1.771,kW,58,-0.009,kW,0,0,0,0,0,0,0,0,2024-02-06 21:52:52,,
1707224103268,0,kW,,512,25.2,℃,-1.626,kW,58,-0.059,kW,0,0,0,0,0,0,0,0,2024-02-06 21:55:03,,
1707224112285,0,kW,,512,25.2,℃,-1.698,kW,58,-0.009,kW,0,0,0,0,0,0,0,0,2024-02-06 21:55:12,,
1707224211813,0,kW,,512,25.2,℃,-1.554,kW,58,0.044,kW,0,0,0,0,0,0,0,0,2024-02-06 21:56:51,,
1707224332041,0,kW,,512,25.1,℃,-1.517,kW,58,-0.062,kW,0,0,0,0,0,0,0,0,2024-02-06 21:58:52,,
1707224403301,0,kW,,512,25,℃,-1.589,kW,58,-0.003,kW,0,0,0,0,0,0,0,0,2024-02-06 22:00:03,,
1707224450614,0,kW,,512,25,℃,-1.625,kW,58,-0.079,kW,0,0,0,0,0,0,0,0,2024-02-06 22:00:50,,
1707224571954,0,kW,,512,25,℃,-1.661,kW,58,-0.004,kW,0,0,0,0,0,0,0,0,2024-02-06 22:02:51,,
1707224703337,0,kW,,512,25,℃,-1.696,kW,57,-0.04,kW,0,0,0,0,0,0,0,0,2024-02-06 22:05:03,,
1707224712245,0,kW,,512,25,℃,-1.66,kW,57,-0.015,kW,0,0,0,0,0,0,0,0,2024-02-06 22:05:12,,
1707224812086,0,kW,,512,25,℃,-1.624,kW,57,-0.01,kW,0,0,0,0,0,0,0,0,2024-02-06 22:06:52,,
1707224932203,0,kW,,512,25,℃,-1.659,kW,57,-0.016,kW,0,0,0,0,0,0,0,0,2024-02-06 22:08:52,,
1707225003164,0,kW,,512,25,℃,-1.731,kW,57,-0.018,kW,0,0,0,0,0,0,0,0,2024-02-06 22:10:03,,
1707225052215,0,kW,,512,25,℃,-1.623,kW,57,-0.024,kW,0,0,0,0,0,0,0,0,2024-02-06 22:10:52,,
1707225171920,0,kW,,512,25,℃,-1.658,kW,57,-0.014,kW,0,0,0,0,0,0,0,0,2024-02-06 22:12:51,,
1707225296850,0,kW,,512,25,℃,-1.622,kW,57,-0.02,kW,0,0,0,0,0,0,0,0,2024-02-06 22:14:56,,
1707225316206,0,kW,,512,25,℃,-1.694,kW,57,-0.021,kW,0,0,0,0,0,0,0,0,2024-02-06 22:15:16,,
1707225412972,0,kW,,512,25,℃,-1.694,kW,57,0.019,kW,0,0,0,0,0,0,0,0,2024-02-06 22:16:52,,
1707225532273,0,kW,,512,25,℃,-1.621,kW,57,-0.021,kW,0,0,0,0,0,0,0,0,2024-02-06 22:18:52,,
1707225604261,0,kW,,512,25,℃,-1.621,kW,56,-0.02,kW,0,0,0,0,0,0,0,0,2024-02-06 22:20:04,,
1707225652282,0,kW,,512,25,℃,-1.621,kW,56,-0.084,kW,0,0,0,0,0,0,0,0,2024-02-06 22:20:52,,
1707225772098,0,kW,,512,25,℃,-1.62,kW,56,-0.071,kW,0,0,0,0,0,0,0,0,2024-02-06 22:22:52,,
1707225903472,0.05,kW,,512,24.5,℃,-0.577,kW,56,0.021,kW,0,0,0,0,0,0,0,0,2024-02-06 22:25:03,,
1707225912276,0,kW,,512,24.5,℃,-0.829,kW,56,-0.098,kW,0,0,0,0,0,0,0,0,2024-02-06 22:25:12,,
1707226011912,0,kW,,512,24.5,℃,-0.108,kW,56,-0.031,kW,0,0,0,0,0,0,0,0,2024-02-06 22:26:51,,
1707226132027,0,kW,,512,24.1,℃,-0.361,kW,56,0.043,kW,0,0,0,0,0,0,0,0,2024-02-06 22:28:52,,
1707226203401,0,kW,,512,23.9,℃,-0.793,kW,56,-0.086,kW,0,0,0,0,0,0,0,0,2024-02-06 22:30:03,,
1707226250713,0.101,kW,,512,23.7,℃,-0.613,kW,56,-0.018,kW,0,0,0,0,0,0,0,0,2024-02-06 22:30:50,,
1707226372061,0,kW,,512,23.6,℃,-0.541,kW,56,-0.155,kW,0,0,0,0,0,0,0,0,2024-02-06 22:32:52,,
1707226503537,0,kW,,512,23.2,℃,-0.072,kW,56,-0.065,kW,0,0,0,0,0,0,0,0,2024-02-06 22:35:03,,
1707226512243,0.121,kW,,512,23.2,℃,-0.216,kW,56,-0.059,kW,0,0,0,0,0,0,0,0,2024-02-06 22:35:12,,
1707226612082,0,kW,,512,23.2,℃,-1.009,kW,56,-0.053,kW,0,0,0,0,0,0,0,0,2024-02-06 22:36:52,,
1707226732096,0,kW,,512,23.1,℃,-1.081,kW,56,-0.057,kW,0,0,0,0,0,0,0,0,2024-02-06 22:38:52,,
1707226803777,0,kW,,512,22.9,℃,-0.649,kW,56,0.026,kW,0,0,0,0,0,0,0,0,2024-02-06 22:40:03,,
1707226852211,0,kW,,512,22.9,℃,-0.397,kW,56,-0.021,kW,0,0,0,0,0,0,0,0,2024-02-06 22:40:52,,
1707226972224,0.092,kW,,512,22.9,℃,-0.072,kW,56,-0.061,kW,0,0,0,0,0,0,0,0,2024-02-06 22:42:52,,
1707227103298,0,kW,,512,22.7,℃,-0.216,kW,56,-0.035,kW,0,0,0,0,0,0,0,0,2024-02-06 22:45:03,,
1707227112201,0,kW,,512,22.7,℃,-0.829,kW,56,-0.038,kW,0,0,0,0,0,0,0,0,2024-02-06 22:45:12,,
1707227212970,0,kW,,512,22.7,℃,-0.108,kW,56,-0.041,kW,0,0,0,0,0,0,0,0,2024-02-06 22:46:52,,
1707227332062,0,kW,,512,22.6,℃,-0.072,kW,56,-0.079,kW,0,0,0,0,0,0,0,0,2024-02-06 22:48:52,,
1707227403745,0,kW,,512,22.5,℃,-0.397,kW,56,-0.072,kW,0,0,0,0,0,0,0,0,2024-02-06 22:50:03,,
1707227451974,0,kW,,512,22.5,℃,-0.685,kW,56,-0.082,kW,0,0,0,0,0,0,0,0,2024-02-06 22:50:51,,
1707227572086,0,kW,,512,22.5,℃,-0.324,kW,56,-0.064,kW,0,0,0,0,0,0,0,0,2024-02-06 22:52:52,,
1707227703263,0,kW,,512,22.4,℃,-0.721,kW,56,0.084,kW,0,0,0,0,0,0,0,0,2024-02-06 22:55:03,,
1707227712274,0,kW,,512,22.4,℃,-0.901,kW,56,0.003,kW,0,0,0,0,0,0,0,0,2024-02-06 22:55:12,,
1707227811806,0,kW,,512,22.4,℃,-0.072,kW,56,-0.051,kW,0,0,0,0,0,0,0,0,2024-02-06 22:56:51,,
1707227932230,0,kW,,512,22.3,℃,-0.469,kW,56,-0.013,kW,0,0,0,0,0,0,0,0,2024-02-06 22:58:52,,
1707228003209,0,kW,,512,22.3,℃,-0.469,kW,55,-0.094,kW,0,0,0,0,0,0,0,0,2024-02-06 23:00:03,,
1707228051335,0.129,kW,,512,22.2,℃,-0.036,kW,55,-0.008,kW,0,0,0,0,0,0,0,0,2024-02-06 23:00:51,,
1707228172255,0,kW,,512,22.2,℃,-0.721,kW,55,-0.008,kW,0,0,0,0,0,0,0,0,2024-02-06 23:02:52,,
1707228303349,0,kW,,512,22.2,℃,-0.612,kW,55,-0.026,kW,0,0,0,0,0,0,0,0,2024-02-06 23:05:03,,
1707228312239,0.121,kW,,512,22.1,℃,-0.036,kW,55,0.008,kW,0,0,0,0,0,0,0,0,2024-02-06 23:05:12,,
1707228412081,0,kW,,512,22.2,℃,-0.252,kW,55,-0.087,kW,0,0,0,0,0,0,0,0,2024-02-06 23:06:52,,
1707228532399,0,kW,,512,22.1,℃,-0.576,kW,55,-0.035,kW,0,0,0,0,0,0,0,0,2024-02-06 23:08:52,,
1707228603568,0,kW,,512,22.1,℃,-0.648,kW,55,-0.15,kW,0,0,0,0,0,0,0,0,2024-02-06 23:10:03,,
